date,open,high,low,close,volume
2025-05-27 01:00:00,109468.6,110829.42,107510.0,109004.9,10567.682576982736
2025-05-28 01:00:00,109004.9,109344.89,106750.0,107811.7,8164.911390364702
2025-05-29 01:00:00,107811.7,108943.35,105300.0,105590.0,11474.00707616563
2025-05-30 01:00:00,105632.5,106377.66,103460.0,104033.26,9702.36237411501
2025-05-31 01:00:00,104033.0,104965.5,103110.0,104645.87,3105.2949622298747
2025-06-01 01:00:00,104662.0,105937.46,103790.0,105697.94,3084.4641209401175
2025-06-02 01:00:00,105712.4,106000.0,103670.0,105904.94,7103.368736124371
2025-06-03 01:00:00,105920.4,106901.68,104880.0,105447.82,7583.404446373841
2025-06-04 01:00:00,105446.0,106058.47,104202.0,104753.38,5334.201601821149
2025-06-05 01:00:00,104745.4,105999.68,100345.73,101570.2,14274.949543486839
2025-06-06 01:00:00,101579.7,105439.01,101132.91,104397.99,11108.668623174002
2025-06-07 01:00:00,104376.0,106000.0,103969.7,105619.02,4739.740544059951
2025-06-08 01:00:00,105619.02,106550.0,105028.3,105784.4,2672.435899080223
2025-06-09 01:00:00,105754.2,110680.0,105368.27,110301.15,8185.177546291206
2025-06-10 01:00:00,110280.0,110420.08,108310.0,110300.24,6908.66231919124
2025-06-11 01:00:00,110273.6,110435.05,108010.0,108669.37,5792.238320771733
2025-06-12 01:00:00,108701.9,108853.74,105700.0,105700.0,7492.8931010729375
2025-06-13 01:00:00,105760.1,106250.0,102660.0,106118.7,10185.707186185175
2025-06-14 01:00:00,106122.3,106264.36,104351.72,105465.42,2989.010661029822
2025-06-15 01:00:00,105465.42,106260.0,104505.05,105581.4,2407.187499500191
2025-06-16 01:00:00,105581.5,109030.0,104982.26,106853.38,7450.235857560228
2025-06-17 01:00:00,106800.1,107792.9,103363.3,104622.4,9802.496025523593
2025-06-18 01:00:00,104622.5,105660.0,103512.38,104915.6,6779.621123841441
2025-06-19 01:00:00,104891.9,105340.0,103916.37,104671.9,3858.5223997305793
2025-06-20 01:00:00,104675.2,106580.0,102357.25,103317.8,6826.764616851534
2025-06-21 01:00:00,103300.0,104120.0,100919.19,102160.03,4955.353099220571
2025-06-22 01:00:00,102153.0,103470.0,98225.01,100996.87,12348.278930754643
2025-06-23 01:00:00,100987.9,106210.0,99677.07,105382.0,12561.102359211241
2025-06-24 01:00:00,105418.4,106366.29,104681.83,106141.0,7512.451839232202
2025-06-25 01:00:00,106100.0,108206.0,105875.0,107400.22,8948.498965531538
2025-06-26 01:00:00,107360.0,108345.0,106520.0,107029.64,5888.253024071294
